t,q1,q2,dq1,dq2,tip_x,tip_y,tip_z,tip_x_rel,tip_z_rel,elbow_x,elbow_z,step_idx
0.2540000000,4.7224741991,1.8542650026,0.4103829339,3.3353762195,0.9673066682,0.0000000000,3.2105932105,0.9673066682,0.7105932105,0.4953677598,3.3532543529,127.0000000000
0.2560000000,4.7233090758,1.8609547274,0.4245400650,3.3543278991,0.9659371330,0.0000000000,3.2033899903,0.9659371330,0.7033899903,0.4950850432,3.3495982130,128.0000000000
0.2580000000,4.7241725456,1.8676822316,0.4389765871,3.3731556071,0.9645219476,0.0000000000,3.1961392908,0.9645219476,0.6961392908,0.4947932759,3.3459174930,129.0000000000
0.2600000000,4.7250651706,1.8744472673,0.4536957079,3.3918594761,0.9630602642,0.0000000000,3.1888416033,0.9630602642,0.6888416033,0.4944923044,3.3422124018,130.0000000000
0.2620000000,4.7259875190,1.8812495870,0.4687006566,3.4104396299,0.9615512277,0.0000000000,3.1814974360,0.9615512277,0.6814974360,0.4941819745,3.3384831550,131.0000000000
0.2640000000,4.7269401659,1.8880889434,0.4839946827,3.4288961828,0.9599939756,0.0000000000,3.1741073150,0.9599939756,0.6741073150,0.4938621315,3.3347299745,132.0000000000
0.2660000000,4.7279236926,1.8949650894,0.4995810556,3.4472292381,0.9583876380,0.0000000000,3.1666717844,0.9583876380,0.6666717844,0.4935326200,3.3309530890,133.0000000000
0.2680000000,4.7289386872,1.9018777781,0.5154630633,3.4654388878,0.9567313379,0.0000000000,3.1591914068,0.9567313379,0.6591914068,0.4931932840,3.3271527340,134.0000000000
0.2700000000,4.7299857442,1.9088267628,0.5316440113,3.4835252107,0.9550241910,0.0000000000,3.1516667641,0.9550241910,0.6516667641,0.4928439672,3.3233291522,135.0000000000
0.2720000000,4.7310654648,1.9158117968,0.5481272215,3.5014882718,0.9532653061,0.0000000000,3.1440984577,0.9532653061,0.6440984577,0.4924845125,3.3194825933,136.0000000000
0.2740000000,4.7321784568,1.9228326337,0.5649160310,3.5193281211,0.9514537851,0.0000000000,3.1364871093,0.9514537851,0.6364871093,0.4921147628,3.3156133144,137.0000000000
0.2760000000,4.7333253348,1.9298890271,0.5820137907,3.5370447923,0.9495887230,0.0000000000,3.1288333612,0.9495887230,0.6288333612,0.4917345604,3.3117215800,138.0000000000
0.2780000000,4.7345067202,1.9369807308,0.5994238636,3.5546383020,0.9476692081,0.0000000000,3.1211378771,0.9476692081,0.6211378771,0.4913437475,3.3078076624,139.0000000000
0.2800000000,4.7357232408,1.9441074982,0.6171496233,3.5721086483,0.9456943224,0.0000000000,3.1134013425,0.9456943224,0.6134013425,0.4909421661,3.3038718416,140.0000000000
0.2820000000,4.7369755314,1.9512690832,0.6351944525,3.5894558094,0.9436631414,0.0000000000,3.1056244653,0.9436631414,0.6056244653,0.4905296579,3.2999144057,141.0000000000
0.2840000000,4.7382642335,1.9584652393,0.6535617407,3.6066797429,0.9415747343,0.0000000000,3.0978079766,0.9415747343,0.5978079766,0.4901060648,3.2959356507,142.0000000000
0.2860000000,4.7395899956,1.9656957200,0.6722548825,3.6237803844,0.9394281646,0.0000000000,3.0899526309,0.9394281646,0.5899526309,0.4896712287,3.2919358814,143.0000000000
0.2880000000,4.7409534726,1.9729602786,0.6912772755,3.6407576459,0.9372224897,0.0000000000,3.0820592074,0.9372224897,0.5820592074,0.4892249916,3.2879154107,144.0000000000
0.2900000000,4.7423553264,1.9802586683,0.7106323179,3.6576114150,0.9349567618,0.0000000000,3.0741285097,0.9349567618,0.5741285097,0.4887671956,3.2838745604,145.0000000000
0.2920000000,4.7437962259,1.9875906419,0.7303234061,3.6743415535,0.9326300277,0.0000000000,3.0661613673,0.9326300277,0.5661613673,0.4882976834,3.2798136611,146.0000000000
0.2940000000,4.7452768464,1.9949559520,0.7503539321,3.6909478961,0.9302413289,0.0000000000,3.0581586358,0.9302413289,0.5581586358,0.4878162980,3.2757330526,147.0000000000
